"Time [s]","Process load","System load"
635.25,9.33,17.12
636.25,10.53,18.33
637.25,9.34,15.83
638.26,7.76,18.53
639.26,13.93,19.4
640.26,10.27,15.86
641.26,11.03,22.56
642.26,8.33,16.4
643.27,8.56,17.53
644.27,10.53,17.94
645.27,8.99,15.49
646.27,11.14,19.84
647.27,8.98,17.19
648.27,9.76,14.05
649.28,11.42,18.17
650.28,7.94,15.62
651.28,8.7,14.16
652.89,12.66,21.94
653.89,14.56,26.78
654.9,10.78,23
655.9,11.55,18.3
656.9,8.07,20.44
657.9,7.8,16.65
658.9,8.45,15.21
659.91,9.73,18.82
660.91,8.85,15.49
661.91,9.24,18.6
662.93,8.26,17.43
663.93,7.94,13.67
664.93,11.18,20.29
665.94,7.92,15.85
666.94,8.72,14.58
667.94,9.9,20.18
668.94,9.63,17.05
670.32,8.09,16
671.33,8.43,15.7
672.33,7.93,17.43
673.39,9.93,16.91
674.39,8.45,17.95
675.39,7.8,18.85
676.43,8.26,14.02
677.44,8.57,18.3
678.44,8.18,17.29
679.46,7.77,13.76
680.46,7.94,18.51
681.46,8.57,19.1
682.53,8.44,15.64
683.53,8.03,19.32
684.54,8.3,19.45
685.54,10.12,20.89
686.55,8.15,18.53
687.55,8.95,15.94
688.55,7.93,13.4
689.56,7.9,17.23
690.56,9.72,20.49
691.56,8.06,21.09
692.57,7.91,19.84
693.57,9.24,16
694.57,9.08,18.29
695.57,7.94,15.1
696.77,8.7,16.75
697.77,7.96,18.28
698.77,8.44,17.77
700.0,8.34,14.27
701.0,8.09,17.86
702.0,8.46,17.99
703.0,7.92,15.46
704.01,8.3,16.61
705.01,7.95,17.31
706.01,7.94,16.27
707.1,8.08,18.8
708.11,9.33,17.77
709.11,7.8,13.78
710.11,8.17,18.04
711.11,8.07,17.05
712.11,8.18,14.67
713.12,8.57,18.32
714.19,8.46,16.8
715.2,8.2,15.89
716.2,8.18,18.32
717.2,9.08,16.46
718.2,8.19,18.33
719.21,7.78,18.41
720.21,8.33,15.36
721.33,8.27,16.66
722.33,8.19,18.08
723.33,8.45,15.86
724.33,8.05,16.24
725.33,8.43,17.26
726.34,7.79,13.5
727.34,8.71,19.12
728.54,8,16.97
729.54,7.55,13.94
730.54,8.07,20.31
731.55,8.29,20.2
732.55,8.72,15.1
733.55,8.3,19.59
734.55,7.92,15.72
735.75,8.49,15.46
736.75,8.32,18.59
737.76,7.65,16.85
738.76,8.55,13.62
739.76,8.06,18.47
740.77,8.56,15.96
741.77,7.67,13.4
742.77,8.44,17.94
743.77,8.17,14.01
744.77,8.2,18.22
745.78,8.45,19.25
746.78,8.31,12.59
747.78,7.8,18.33
748.78,8.55,18.94
749.79,7.92,15.05
750.79,8.33,19.14
751.79,7.93,17.69
752.79,8.95,17
754.01,8.47,18.99
755.01,7.94,18.75
756.01,8.6,15.62
757.01,8.2,18.1
758.01,8.43,17.38
759.01,8.06,14.45
760.01,7.92,18.33
761.02,7.55,15.47
762.02,9.09,16.37
763.02,10.66,21.3
764.02,9.36,17.29
765.03,10.92,20.68
766.03,8.58,19.89
767.03,8.32,13.4
768.03,7.55,19.79
769.03,11.43,22.73
771.79,7.92,19.39
